head,noise_mean_acc,noise_std_acc,noise_contrib,zero_acc,zero_contrib
10,0.6294736842105262,0.00470751153157847,0.01263157894736855,0.6,0.04210526315789476
2,0.6336842105263158,0.015613049446517193,0.008421052631578885,0.6105263157894737,0.03157894736842104
3,0.631578947368421,0.0,0.010526315789473717,0.631578947368421,0.010526315789473717
1,0.631578947368421,0.0,0.010526315789473717,0.631578947368421,0.010526315789473717
7,0.631578947368421,0.007443229275647853,0.010526315789473717,0.631578947368421,0.010526315789473717
0,0.6357894736842106,0.005765500605317556,0.0063157894736841635,0.6421052631578947,0.0
8,0.631578947368421,0.007443229275647853,0.010526315789473717,0.6421052631578947,0.0
5,0.631578947368421,0.0,0.010526315789473717,0.6421052631578947,0.0
9,0.631578947368421,0.007443229275647853,0.010526315789473717,0.6421052631578947,0.0
11,0.6336842105263157,0.00470751153157852,0.008421052631578996,0.6421052631578947,0.0
4,0.631578947368421,0.023537557657892498,0.010526315789473717,0.6526315789473685,-0.010526315789473717
6,0.6357894736842106,0.009415023063156995,0.0063157894736841635,0.6631578947368421,-0.021052631578947323
